katamajemuk
abang kandung
anak kandung
api unggun
buah bibir
buah cakap
buah kalam
buah kesenian
buah mimpi
buah mulut
buah pembicaraan
buah pena
buah percakapan
buah pikiran
buah tangan
buah tutur
daya batin
daya kuda
dukacita
hak cipta
hak milik
ibu kandung
kabar angin
kakak kandung
luka bakar
luka tikam
marak damar
marak intan
marak kaca
marak logam
musik gesek
saudara kandung
sukacita
bajak laut
gerak jalan
kapal laut
kapal udara
lari gawang
uang muka
uang pangkal
angin sakal
bintang kitar
bulan kitar
bunga rampai
darah iring
garis bujur
garis hubung
garis lintang
garis singgung
kampanye lisan
minyak rampai
roda kitar
ubi jalar
ubi rambut
ban angin
kapal layar
kapal meriam
kereta angin
kereta api
mesin uap
nasi beriani
nasi lemak
nasi minyak
nasi rawon
nasi telur
nasi ulam
rem angin
sumpah pocong
sumpah quran
tangga senigai
tuan kebun
tuan tanah
kuasa usaha
narasumber
salah anggaran
salah asuhan
salah cetak
salah ejaan
salah penerimaan
salah perasaan
setia kawan
tertib acara
tertib ejaan
tertib hukum
tertib nikah
wajib belajar
wajib latih
wajib militer
wajib pajak
wajib sarjana
wajib uji
obat angin
obat batuk
obat cacing
obat demam
obat kurap
obat lali
obat nyamuk
obat pening
obat rindu
bulan madu
bulan puasa
hari jadi
musim buah
musim bunga
musim dingin
musim gugur
musim hujan
musim kemarau
musim kering
musim panas
doa malam
doa pagi
kuliah sore
kuliah subuh
sembahyang magrib
sembahyang subuh
utang budi
utang emas
utang kepala
utang nyawa
jago balap
jago gelut
jago kepruk
jago lari
jago tembak
jago tinju
juru anggar
juru api
juru bahasa
juru batu
juru bayar
juru bendungan
juru berita
juru bicara
juru buku
juru cacar
juru dapur
juru gambar
juru gudang
juru jana
juru kamera
juru kelat
juru kerah
juru khitan
juru kunci
juru layar
juru lelang
juru masak
juru meriam
juru minyak
juru mitar
juru motor
juru muat
juru mudi
juru obat
juru parkir
juru peledak
juru perbekalan
juru peta
juru rawat
juru rias
juru runding
juru selam
juru sita
juru sumpit
juru tafsir
juru tagih
juru tambak
juru tanah
juru tera
juru terbang
juru tik
juru tinggi
juru topografi
juru tulis
juru tunjuk
juru ulas
pandai besi
pandai canai
pandai emas
pandai kayu
pandai lukis
pandai obat
tukang air
tukang akuarium
tukang arloji
tukang baso
tukang batu
tukang becak
tukang besi
tukang bodor
tukang bohong
tukang bonceng
tukang buah
tukang canai
tukang cap
tukang catut
tukang cetak
tukang cicip
tukang copet
tukang cukur
tukang daging
tukang dendam
tukang derek
tukang derji
tukang dongkel
tukang emas
tukang es
tukang fitnah
tukang gado-gado
tukang gangsir
tukang gedor
tukang gerobak
tukang gigi
tukang godot
tukang gosok
tukang gudeg
tukang gunting
tukang hasut
tukang ijon
tukang ikan
tukang jahit
tukang jilat
tukang jual
tukang judi
tukang kaleng
tukang kapur
tukang kasut
tukang kayu
tukang kebut
tukang kembang
tukang keplok
tukang kepruk
tukang kereta
tukang kotak
tukang kredit
tukang kritik
tukang kuda
tukang kue
tukang kulkas
tukang kundai
tukang lampu
tukang las
tukang ledeng
tukang listrik
tukang loak
tukang lumas
tukang mabok
tukang makan
tukang marah
tukang masak
tukang minum
tukang minyak
tukang nebeng
tukang ngamen
tukang ngomel
tukang nguping
tukang nunut
tukang nyanyi
tukang obat
tukang pacak
tukang pajak
tukang patri
tukang patung
tukang pedati
tukang pelat
tukang peras
tukang perkosa
tukang pos
tukang potong
tukang potret
tukang pukul
tukang pungut
tukang rias
tukang rokok
tukang roti
tukang royal
tukang rumah
tukang rumput
tukang sabit
tukang samak
tukang sambar
tukang sapu
tukang sate
tukang sayur
tukang senjata
tukang sepatu
tukang sihir
tukang sulap
tukang sundut
tukang suruh
tukang tadah
tukang tagih
tukang tambal
tukang tanah
tukang telepon
tukang teluh
tukang tembaga
tukang tenung
tukang terompah
tukang tidur
tukang tik
tukang todong
tukang ukur
tukang ular
tukang warung
utas perigi
cepat lidah
cepat mulut
cepat tangan
cukup umur
dalu warsa
dapat hati
datang bulan
datang hati
dingin hati
dingin kepala
dingin tangan
dua hati
enak badan
enteng jodoh
enteng rejeki
gatal mulut
gatal tangan
gegar otak
gelap hati
gelap mata
gelap pikiran
geli hati
gering hulu
gugur hati
habis akal
habis jodoh
habis perkara
hampa tangan
hangat hati
hilang akal
hilang arwah
hilang ingatan
hilang keberanian
hilang pikiran
hilang semangat
hina budi
hina pekerti
iba hati
iri hati
jatuh colok
jatuh harga
jatuh hati
jatuh merek
jatuh nama
jatuh talak
jilah kening
kasar tangan
kebal kulit
kecil hati
kekok akal
kelam mata
kembang hati
kembang tengkuk
kena hati
kepalang ajar
keras hati
keras hidung
keras jangat
keras kepala
keras lidah
keras mulut
keras tulang
kering darah
kotor mulut
kuat hati
kuat iman
kurang adab
kurang adat
kurang air
kurang ajar
kurang akal
kurang asam
kurang bahasa
kurang darah
kurang hati
kurang ingatan
kurang sinar
kurang tenaga
lancang mulut
lancar kaji
lantas akal
lantas tangan
lapang dada
lapang hati
lapang perut
lebar mulut
lega dada
lega hati
lemah hati
lemah semangat
lemah syahwat
lemah zakar
lembut hati
lengah mata
lepas malu
lepas tangan 
lepas tugas
lesu darah
lunak hati
lunak mulut
lurus akal
lurus hati
mahal senyuman
manis mulut
masak ajar
masuk akal
mati angin
mati pucuk
mati raga
mati rasa
mati tulang
mengkal hati
merah telinga
muda hati
murah hati
murah mulut
murah rejeki
murah tangan
naik darah
naik daun
naik derajat
naik gaji
naik hati
naik kelas
naik marak
naik merek
naik palak
naik pangkat
naik semangat
naik setum
naik tangan
panas dalam
panas hati
panjang akal
panjang lidah
panjang mata
panjang mulut
panjang tangan
panjang umur
panjang untung
pantas mulut
pantas tangan
patah hati
patah kemudi
patah lesu
patah lidah
patah nafsu
patah pucuk
patah selera
patah siku
patah tulang
pecah hati
pecah kulit
pedih hati
pendek akal
pendek kaji
pendek napas
pendek permintaan
pendek pikiran
pening kepala
pilu hati
pulang pokok
putih hati
putih mata
putus akad
putus akal
putus asa
putus bicara
putus harapan
putus harga
putus ikhtiar
